AmountOfMovement;0
AmountOfMovement;0
AmountOfMovement;60,25092
AmountOfMovement;112,4294
AmountOfMovement;165,8255
AmountOfMovement;0
AmountOfMovement;106,7039
AmountOfMovement;0
AmountOfMovement;61,31424
AmountOfMovement;143,0673
AmountOfMovement;207,951
AmountOfMovement;314,2999
AmountOfMovement;397,2262
AmountOfMovement;0
AmountOfMovement;0
0;AmountOfMovement;0
0;AmountOfMovement;0
10,02;AmountOfMovement;77,52839
0;AmountOfMovement;0
10,02;AmountOfMovement;31,14802
0;AmountOfMovement;0
10,02;AmountOfMovement;27,85394
12,98;AmountOfMovement;25,63293
18,2;AmountOfMovement;37,66512
0;AmountOfMovement;0
10,02;AmountOfMovement;146,0697
20,04;AmountOfMovement;118,3535
30,06;AmountOfMovement;138,3924
0;AmountOfMovement;0
8,24;AmountOfMovement;110,7744
34,26;AmountOfMovement;285,9271
44,74;AmountOfMovement;112,5939
0;AmountOfMovement;0
0;AmountOfMovement;0
9,38;AmountOfMovement;47,63336
18,6;AmountOfMovement;50,55873
27,6;AmountOfMovement;47,23587
42,32;AmountOfMovement;80,93043
0;AmountOfMovement;0
0;AmountOfMovement;0
0;AmountOfMovement;0
13,22;AmountOfMovement;86,08233
17,42;AmountOfMovement;88,41963
24,06;AmountOfMovement;88,28838
29,54;AmountOfMovement;114,7238
36,72;AmountOfMovement;109,026
43,02;AmountOfMovement;112,7964
48,24;AmountOfMovement;53,84774
51,5;AmountOfMovement;53,33818
54,16;AmountOfMovement;55,10575
55,98;AmountOfMovement;58,01148
59,7;AmountOfMovement;71,80038
61,52;AmountOfMovement;73,98203
65,04;AmountOfMovement;110,3813
66,78;AmountOfMovement;74,00126
69,88;AmountOfMovement;94,40804
74,1;AmountOfMovement;81,20259
77,88;AmountOfMovement;77,20312
79,74;AmountOfMovement;62,89704
85,36;AmountOfMovement;89,27844
87,75999;AmountOfMovement;111,903
91,07999;AmountOfMovement;45,9855
97,18;AmountOfMovement;70,60293
100,26;AmountOfMovement;79,85343
103,76;AmountOfMovement;55,40232
107,36;AmountOfMovement;60,23252
109,7;AmountOfMovement;20,58556
125,44;AmountOfMovement;77,66109
127,52;AmountOfMovement;28,01014
131,38;AmountOfMovement;117,661
139,08;AmountOfMovement;80,33964
146,8;AmountOfMovement;101,936
157,34;AmountOfMovement;95,91472
163,5;AmountOfMovement;87,16237
0;AmountOfMovement;0
6,28;AmountOfMovement;66,6278
8,139999;AmountOfMovement;68,50918
9,559999;AmountOfMovement;8,777567
0;AmountOfMovement;0
4,62;AmountOfMovement;42,56956
7,58;AmountOfMovement;68,02216
